_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD,MONTH,YEAR
25108,TO,665,Apr-15,Apr,2015
25109,ET,245,May-15,May,2015
25110,NY,307,May-15,May,2015
25111,SC,306,May-15,May,2015
25112,TO,805,May-15,May,2015
25113,ET,268,Jun-15,Jun,2015
25114,NY,386,Jun-15,Jun,2015
25115,SC,346,Jun-15,Jun,2015
25116,TO,927,Jun-15,Jun,2015
25117,ET,317,Jul-15,Jul,2015
25118,NY,387,Jul-15,Jul,2015
25119,SC,390,Jul-15,Jul,2015
25120,TO,1090,Jul-15,Jul,2015
25121,ET,264,Aug-15,Aug,2015
25122,NY,336,Aug-15,Aug,2015
25123,SC,325,Aug-15,Aug,2015
25124,TO,930,Aug-15,Aug,2015
25125,ET,174,Sep-15,Sep,2015
25126,NY,251,Sep-15,Sep,2015
25127,SC,253,Sep-15,Sep,2015
25128,TO,713,Sep-15,Sep,2015
25129,ET,135,Oct-15,Oct,2015
25130,NY,211,Oct-15,Oct,2015
25131,SC,186,Oct-15,Oct,2015
25132,TO,478,Oct-15,Oct,2015
25133,ET,91,Nov-15,Nov,2015
25134,NY,176,Nov-15,Nov,2015
25135,SC,149,Nov-15,Nov,2015
25136,TO,342,Nov-15,Nov,2015
25137,ET,104,Dec-15,Dec,2015
25138,NY,169,Dec-15,Dec,2015
25139,SC,144,Dec-15,Dec,2015
25140,TO,335,Dec-15,Dec,2015
25141,ET,92,Jan-16,Jan,2016
25142,NY,156,Jan-16,Jan,2016
25143,SC,131,Jan-16,Jan,2016
25144,TO,346,Jan-16,Jan,2016
25145,ET,123,Feb-16,Feb,2016
25146,NY,170,Feb-16,Feb,2016
25147,SC,173,Feb-16,Feb,2016
25148,TO,364,Feb-16,Feb,2016
25149,ET,155,Mar-16,Mar,2016
25150,NY,197,Mar-16,Mar,2016
25151,SC,204,Mar-16,Mar,2016
25152,TO,517,Mar-16,Mar,2016
25153,ET,197,Apr-16,Apr,2016
25154,NY,257,Apr-16,Apr,2016
25155,SC,246,Apr-16,Apr,2016
25156,TO,695,Apr-16,Apr,2016
25157,ET,247,May-16,May,2016
25158,NY,326,May-16,May,2016
25159,SC,306,May-16,May,2016
25160,TO,895,May-16,May,2016
25161,ET,255,Jun-16,Jun,2016
25162,NY,344,Jun-16,Jun,2016
25163,SC,341,Jun-16,Jun,2016
25164,TO,1071,Jun-16,Jun,2016
25165,ET,274,Jul-16,Jul,2016
25166,NY,384,Jul-16,Jul,2016
25167,SC,348,Jul-16,Jul,2016
25168,TO,1041,Jul-16,Jul,2016
25169,ET,296,Aug-16,Aug,2016
